	x0	x1	x2	x3	x4
58	6.393722e+01	1.185710e+10	1.092963e-05	2.224448e+02	1.643234e-04
59	6.273983e+00	4.071748e+09	1.962703e-02	3.612899e+03	1.574634e-05
60	7.158493e+01	3.958324e+09	1.478651e-05	1.224540e+02	1.223809e-04
61	7.152860e+00	1.110486e+09	2.228784e-02	1.763128e+03	1.139363e-05
62	8.693862e+01	1.146943e+09	1.517279e-05	6.632442e+01	9.013759e-05
63	8.772980e+00	3.907642e+08	2.562024e-02	9.615584e+02	9.051342e-06
64	6.689524e+01	1.318817e+10	8.949686e-06	2.281816e+02	1.702947e-04
65	6.578743e+00	4.715770e+09	1.889099e-02	3.813133e+03	1.677987e-05
66	7.484087e+01	3.965324e+09	1.276728e-05	1.205020e+02	1.243263e-04
67	7.109556e+00	1.102793e+09	2.266511e-02	1.761248e+03	1.118823e-05
68	6.531762e+01	1.346405e+10	9.437775e-06	2.378424e+02	1.668901e-04
69	6.900199e+00	5.531809e+09	1.793990e-02	4.049861e+03	1.798423e-05
70	9.068737e+01	1.192378e+09	1.353554e-05	6.695801e+01	9.271048e-05
71	8.839278e+00	4.325818e+08	2.305282e-02	9.755576e+02	9.127561e-06
72	7.704229e+01	4.075306e+09	1.087323e-05	1.202566e+02	1.246706e-04
73	7.254816e+00	1.165779e+09	2.199840e-02	1.788100e+03	1.135869e-05
74	6.418754e+01	1.332769e+10	1.130402e-05	2.536213e+02	1.659653e-04
75	6.568765e+00	6.931583e+09	1.646969e-02	4.419676e+03	1.768054e-05
76	8.872691e+01	1.293897e+09	1.483283e-05	7.228039e+01	9.242823e-05
77	8.898297e+00	4.953896e+08	2.257585e-02	1.042081e+03	9.384610e-06
78	7.948361e+01	4.046788e+09	1.098850e-05	1.230958e+02	1.269610e-04
79	7.395986e+00	1.333814e+09	2.073986e-02	1.868965e+03	1.170586e-05
80	6.152239e+01	1.541712e+10	1.302331e-05	2.890067e+02	1.666287e-04
81	6.453462e+00	9.556130e+09	1.650693e-02	5.147404e+03	1.860003e-05
82	8.605198e+01	1.424884e+09	1.611527e-05	7.941904e+01	9.190653e-05
83	9.228511e+00	6.212090e+08	2.271069e-02	1.153367e+03	1.021883e-05
84	7.562220e+01	4.087581e+09	1.156054e-05	1.271021e+02	1.210280e-04
85	7.648395e+00	1.474694e+09	2.006887e-02	1.938864e+03	1.226293e-05
86	5.958262e+01	1.829061e+10	1.342364e-05	3.250651e+02	1.679308e-04
87	6.162313e+00	1.345497e+10	1.538735e-02	5.978564e+03	1.892958e-05
88	8.863643e+01	1.623565e+09	1.527982e-05	8.551220e+01	9.647487e-05
89	9.108557e+00	7.810654e+08	2.169376e-02	1.262904e+03	1.053331e-05
90	7.659594e+01	4.134843e+09	1.265531e-05	1.334828e+02	1.233581e-04
91	7.509129e+00	1.747015e+09	1.910062e-02	2.066431e+03	1.235085e-05
92	8.756399e+01	1.864147e+09	1.448405e-05	9.198780e+01	9.754766e-05
93	9.171451e+00	9.897214e+08	2.043221e-02	1.378973e+03	1.109298e-05
94	7.647382e+01	4.874274e+09	1.152412e-05	1.444536e+02	1.258382e-04
95	7.510342e+00	2.244657e+09	1.802276e-02	2.281157e+03	1.291249e-05
96	9.037426e+01	2.251547e+09	1.432460e-05	1.032047e+02	1.048064e-04
97	8.869791e+00	1.447894e+09	1.831030e-02	1.582281e+03	1.152611e-05
98	7.637903e+01	5.438475e+09	1.315546e-05	1.618912e+02	1.301968e-04
99	7.498930e+00	3.230256e+09	1.645110e-02	2.631199e+03	1.377207e-05
100	7.162485e+01	6.296407e+09	1.405573e-05	1.811514e+02	1.271123e-04
101	7.110996e+00	4.219689e+09	1.632036e-02	2.978262e+03	1.384762e-05
102	6.807624e+01	7.707369e+09	1.452356e-05	2.066081e+02	1.269735e-04
103	6.979100e+00	6.054339e+09	1.539408e-02	3.475501e+03	1.463049e-05
104	8.517096e+01	4.272666e+10	2.167989e-04	1.381043e+03	2.077722e-03
105	7.088619e+00	3.913596e+11	2.541319e-03	3.451216e+04	1.991700e-04
106	5.650324e+01	8.322174e+10	1.029728e-04	1.106913e+03	8.175157e-04
107	4.962251e+00	7.420738e+10	8.865707e-03	1.843542e+04	6.566515e-05
108	8.334952e+01	2.611310e+10	2.714164e-04	1.157650e+03	1.800550e-03
109	7.973615e+00	2.683200e+11	2.519777e-03	2.946482e+04	1.967166e-04
110	7.108780e+01	6.169714e+10	5.927161e-05	7.013724e+02	6.000297e-04
111	5.674147e+00	3.462235e+10	8.311615e-03	1.022253e+04	3.879504e-05
112	6.610993e+01	1.913731e+10	2.817576e-04	7.088184e+02	7.470250e-04
113	5.437727e+00	3.094074e+10	1.074028e-02	1.203572e+04	5.841274e-05
114	8.481397e+01	2.805990e+10	2.392101e-04	1.166733e+03	1.830585e-03
115	8.295646e+00	2.881191e+11	2.481845e-03	3.022025e+04	2.080626e-04
116	7.450797e+01	1.859668e+10	8.602644e-05	3.720138e+02	3.588686e-04
117	5.557706e+00	7.503968e+09	1.538091e-02	5.019491e+03	2.058302e-05
118	8.446292e+01	1.201268e+10	9.831662e-05	3.617632e+02	4.986888e-04
119	6.886975e+00	1.081363e+10	7.674658e-03	5.427943e+03	3.639935e-05
120	1.052745e+02	1.996722e+10	1.889265e-04	9.498741e+02	1.949263e-03
121	9.237522e+00	2.306515e+11	2.097333e-03	2.638269e+04	2.051483e-04
122	7.831526e+01	5.353847e+09	4.223500e-04	4.340714e+02	6.723210e-04
123	6.621447e+00	1.333099e+10	1.163322e-02	7.715012e+03	5.662674e-05
124	1.038175e+02	1.173639e+10	3.157375e-04	8.324463e+02	1.761878e-03
125	8.799389e+00	1.511113e+11	2.103308e-03	2.241691e+04	1.694150e-04
126	9.077189e+01	3.366366e+09	4.363444e-04	3.565214e+02	6.870165e-04
